rff_dim,gamma,m,mse
20,0.1,5,(22.721454480690376+1.3312186365534636e-17j)
20,0.1,10,(22.717162310640425-6.884765187193196e-18j)
20,0.1,20,(22.727870955092772-2.637803717538719e-17j)
20,0.001,5,(23.82745067973996-3.077029658399662e-14j)
20,0.001,10,(22.82101052613145-2.2747076972490115e-15j)
20,0.001,20,(23.0209453105183-3.1066812172735376e-16j)
20,1e-05,5,(31.582664225539457-1.5964103087753415e-12j)
20,1e-05,10,(23.6386307487457-1.2281149674267936e-15j)
20,1e-05,20,(22.51500111738486-2.0462070309050278e-14j)
20,1e-07,5,(30.016029731975863+9.606616611286993e-11j)
20,1e-07,10,(23.14130306618618+8.972518102784825e-13j)
20,1e-07,20,(21.84158001875454+1.3430994261287506e-12j)
50,0.1,5,(22.756147612928217+1.559286706657599e-16j)
50,0.1,10,(22.81805884307776+5.57330705545413e-16j)
50,0.1,20,(22.740035337933723-5.59095575497955e-17j)
50,0.001,5,(22.26173222379073-1.0663240509109925e-15j)
50,0.001,10,(35.76362767029097-4.718103316712387e-13j)
50,0.001,20,(22.13170863448782-9.492876516896216e-16j)
50,1e-05,5,(22.189130599893684-2.5955674567292864e-16j)
50,1e-05,10,(25.85497720396172+6.047736892661449e-12j)
50,1e-05,20,(23.714872784184664+3.317331899981628e-14j)
50,1e-07,5,(22.2680028055739+1.2297653688983946e-17j)
50,1e-07,10,(23.309194364312386-1.520273433357258e-11j)
50,1e-07,20,(23.45024062287006+5.565346248608979e-13j)
300,0.1,5,(25.60201971665114+6.052132694973162e-15j)
300,0.1,10,(34.47952135086683-4.5903596624805196e-14j)
300,0.1,20,(175.408638964349+9.657639746794489e-11j)
300,0.001,5,(6.327867118149083e+25+723963676437.9348j)
300,0.001,10,(706594349.4473001-7.513080297792327e-06j)
300,0.001,20,(17226095727.570232+0.003522744300470625j)
300,1e-05,5,(3.1724279849724008e+41+4.80621528862782e+27j)
300,1e-05,10,(9.747352406106088e+23-5058692032.703512j)
300,1e-05,20,(49383416165507.625+157.94899574909442j)
300,1e-07,5,(1.1981654674226006e+36+2.706954528275833e+23j)
300,1e-07,10,(8.532065067158386e+16-10080.517906689402j)
300,1e-07,20,(3.17778815245096e+33+2.8530111305348064e+21j)
500,0.1,5,(23.090616216984635+4.982041116284943e-15j)
500,0.1,10,(29.829315821053488-8.238225094179947e-14j)
500,0.1,20,(119.92131477562353-1.7620642403386186e-11j)
500,0.001,5,(4.065441623197409e+22-1198309132.530352j)
500,0.001,10,(339188.4048707723-2.379723707093841e-09j)
500,0.001,20,(9424.16816857205+1.662382163097469e-09j)
500,1e-05,5,(5.247927665553384e+31+1.259745775546148e+18j)
500,1e-05,10,(565926430807251.6+7.126554250085784j)
500,1e-05,20,(240564964968280.97+241.3458673733079j)
500,1e-07,5,(1.905071078139079e+41+3.631208061059093e+28j)
500,1e-07,10,(1.0324521149209118e+17+4029.070569329948j)
500,1e-07,20,(4.5450895822007924e+32-1.359903706490883e+20j)
